Fecha_def,Partido,Competición_def,Duración_def,Seleccionar esquema_def,Goles recibidos,Tiros en contra,Tiros a la portería_def,Duelos defensivos,Duelos defensivos ganados,Duelos aéreos,Duelos aéreos ganados,Entradas a ras de suelo,Entradas a ras de suelo logradas,Interceptaciones,Despejes,Faltas,Tarjetas amarillas,Tarjetas rojas,% Duelos defensivos ganados,% Duelos aéreos ganados,Goles recibidos acumulados,Tiros en contra acumulados,% Éxito entradas a ras de suelo,Tarjetas totales,Fecha_ofe,Competición_ofe,Duración_ofe,Seleccionar esquema_ofe,xG,Tiros,Tiros a la portería_ofe,Ataques posicionales,Ataques posicionales con remate,Contraataques,Contraataques con remate,Córneres,Córneres con remate,Tiros libres,Tiros libres con remate,Penaltis,Penaltis marcados,Centros,Centros precisos,Duelos ofensivos,Duelos ofensivos ganados,Fuera de juego,% Tiros a portería,% Centros precisos,% Duelos ofensivos ganados,Fecha_x,Competición_x,Duración_x,Seleccionar esquema_x,Pases,Pases logrados,Pases hacia adelante,Pases hacia adelante logrados,Pases hacia atrás,Pases hacia atrás logrados,Pases laterales,Pases laterales logrados,Pases largos,Pases largos logrados,Pases en el último tercio,Pases en el último tercio logrados,Pases progresivos,Pases progresivos precisos,Desmarques,Desmarques logrados,Saques laterales,Saques laterales logrados,Saques de meta,% Precisión pase,% Precisión progresivos,% Precisión último tercio,Fecha_y,Competición_y,Duración_y,Seleccionar esquema_y,Intensidad de paso,Promedio pases por posesión del balón,Lanzamiento largo %,PPDA,Distancia media de tiro,Longitud media pases
2025-01-12,Alianza Lima - Emelec 2:0,World. Club Friendlies,92,4-3-3 (100.0%),0,3,1,70,51,25,12,6,3,26,9,14,0,0,72.85714285714285,48.0,0,3,50.0,0,2025-01-12,World. Club Friendlies,92,4-3-3 (100.0%),1.21,13,7,29,9,0,0,1,1,5,2,0,0,13,5,77,33,0,53.84615384615385,38.46153846153847,42.857142857142854,2025-01-12,World. Club Friendlies,92,4-3-3 (100.0%),395,348,120,98,57,54,150,138,40,26,38,27,54,42,1,0,19,18,2,88.10126582278481,77.77777777777779,71.05263157894737,2025-01-12,World. Club Friendlies,92,4-3-3 (100.0%),16.14,4.16,10.13,8.55,17.97,18.2
2025-02-06,Nacional Asunción - Alianza Lima 1:1,South America. Copa Libertadores,105,4-1-4-1 (70.38%),1,9,3,48,38,53,27,2,1,32,12,9,3,0,79.16666666666666,50.943396226415096,1,12,50.0,3,2025-02-06,South America. Copa Libertadores,105,4-1-4-1 (70.38%),1.89,14,5,33,7,0,0,6,3,3,1,1,1,23,5,90,31,2,35.714285714285715,21.73913043478261,34.44444444444444,2025-02-06,South America. Copa Libertadores,105,4-1-4-1 (70.38%),456,389,160,128,45,41,199,181,51,36,54,44,69,56,2,2,23,21,9,85.30701754385966,81.15942028985508,81.48148148148148,2025-02-06,South America. Copa Libertadores,105,4-1-4-1 (70.38%),14.06,4.38,11.18,4.38,17.86,19.5
2025-02-09,Alianza Lima - Cusco 3:0,Peru. Primera División,96,4-1-4-1 (100.0%),0,6,4,70,42,18,7,4,1,33,15,15,0,0,60.0,38.88888888888889,1,18,25.0,0,2025-02-09,Peru. Primera División,96,4-1-4-1 (100.0%),2.13,22,7,26,12,0,0,8,5,2,0,1,1,18,5,52,26,0,31.818181818181817,27.77777777777778,50.0,2025-02-09,Peru. Primera División,96,4-1-4-1 (100.0%),326,279,114,87,44,42,124,112,33,19,46,35,63,53,0,0,8,8,4,85.58282208588957,84.12698412698413,76.08695652173914,2025-02-09,Peru. Primera División,96,4-1-4-1 (100.0%),16.24,4.66,10.12,13.39,22.52,19.44
2025-02-13,Alianza Lima - Nacional Asunción 3:1,South America. Copa Libertadores,97,4-1-4-1 (100.0%),1,13,2,39,19,46,21,3,2,38,18,13,2,0,48.717948717948715,45.65217391304348,2,31,66.66666666666666,2,2025-02-13,South America. Copa Libertadores,97,4-1-4-1 (100.0%),2.9,15,7,26,10,0,0,5,1,4,0,0,0,19,9,71,26,3,46.666666666666664,47.368421052631575,36.61971830985916,2025-02-13,South America. Copa Libertadores,97,4-1-4-1 (100.0%),399,321,141,99,45,42,133,111,43,27,48,27,74,51,0,0,24,20,9,80.45112781954887,68.91891891891892,56.25,2025-02-13,South America. Copa Libertadores,97,4-1-4-1 (100.0%),16.42,3.5,10.78,7.13,19.41,17.26
2025-02-15,Alianza Atlético - Alianza Lima 3:1,Peru. Primera División,99,4-3-3 (100.0%),3,8,5,54,30,39,16,1,0,35,15,8,2,0,55.55555555555556,41.02564102564102,5,39,0.0,2,2025-02-15,Peru. Primera División,99,4-3-3 (100.0%),1.69,15,5,34,11,1,0,7,0,4,1,0,0,18,7,71,30,2,33.33333333333333,38.88888888888889,42.25352112676056,2025-02-15,Peru. Primera División,99,4-3-3 (100.0%),440,348,166,114,68,66,119,94,58,33,62,38,68,52,8,2,22,21,4,79.0909090909091,76.47058823529412,61.29032258064516,2025-02-15,Peru. Primera División,99,4-3-3 (100.0%),17.7,3.76,13.18,9.09,17.27,18.59
2025-02-19,Alianza Lima - Boca Juniors 1:0,South America. Copa Libertadores,98,4-4-1-1 (100.0%),0,8,3,62,38,28,15,8,3,34,4,10,5,0,61.29032258064516,53.57142857142857,5,47,37.5,5,2025-02-19,South America. Copa Libertadores,98,4-4-1-1 (100.0%),1.75,12,7,25,10,1,0,3,0,1,1,0,0,11,4,83,34,1,58.333333333333336,36.36363636363637,40.963855421686745,2025-02-19,South America. Copa Libertadores,98,4-4-1-1 (100.0%),317,254,126,92,49,45,103,81,42,20,46,32,64,43,1,1,8,7,10,80.12618296529969,67.1875,69.56521739130434,2025-02-19,South America. Copa Libertadores,98,4-4-1-1 (100.0%),15.23,3.45,13.25,15.13,16.16,19.39
2025-02-22,Alianza Lima - Juan Pablo II College 1:0,Peru. Primera División,100,4-4-2 (65.59%),0,9,4,67,40,29,16,3,3,53,12,13,4,0,59.70149253731343,55.172413793103445,5,56,100.0,4,2025-02-22,Peru. Primera División,100,4-4-2 (65.59%),1.88,16,6,30,11,0,0,7,3,6,1,0,0,11,3,79,29,0,37.5,27.27272727272727,36.708860759493675,2025-02-22,Peru. Primera División,100,4-4-2 (65.59%),411,342,155,122,58,51,135,111,29,16,58,47,77,63,0,0,12,11,10,83.21167883211679,81.81818181818183,81.03448275862068,2025-02-22,Peru. Primera División,100,4-4-2 (65.59%),14.63,4.07,7.06,5.97,18.41,17.89
2025-02-26,Boca Juniors - Alianza Lima 2:1 (P),South America. Copa Libertadores,101,4-2-3-1 (33.06%),2,20,12,48,28,40,18,5,3,64,29,10,5,0,58.333333333333336,45.0,7,76,60.0,5,2025-02-26,South America. Copa Libertadores,101,4-2-3-1 (33.06%),0.21,5,2,10,1,1,0,1,1,1,1,0,0,0,0,57,10,2,40.0,,17.543859649122805,2025-02-26,South America. Copa Libertadores,101,4-2-3-1 (33.06%),182,147,92,66,23,23,40,35,34,20,26,19,46,27,1,1,16,6,9,80.76923076923077,58.69565217391305,73.07692307692307,2025-02-26,South America. Copa Libertadores,101,4-2-3-1 (33.06%),14.02,1.98,18.68,17.5,21.97,19.84
2025-03-02,Sporting Cristal - Alianza Lima 1:2,Peru. Primera División,101,4-2-3-1 (80.3%),1,9,4,66,41,48,21,5,4,35,29,7,1,0,62.121212121212125,43.75,8,85,80.0,1,2025-03-02,Peru. Primera División,101,4-2-3-1 (80.3%),0.76,12,5,25,7,1,1,9,3,5,1,0,0,7,2,75,28,1,41.66666666666667,28.57142857142857,37.333333333333336,2025-03-02,Peru. Primera División,101,4-2-3-1 (80.3%),275,233,115,91,40,40,92,80,36,23,40,30,58,43,0,0,10,10,8,84.72727272727273,74.13793103448276,75.0,2025-03-02,Peru. Primera División,101,4-2-3-1 (80.3%),15.48,2.67,13.09,12.11,19.47,20.04
2025-03-04,Deportes Iquique - Alianza Lima 1:2,South America. Copa Libertadores,100,4-4-1-1 (100.0%),1,10,4,69,36,42,20,6,2,44,28,9,3,0,52.17391304347826,47.61904761904761,9,95,33.33333333333333,3,2025-03-04,South America. Copa Libertadores,100,4-4-1-1 (100.0%),2.55,15,4,24,9,6,3,1,1,0,1,0,0,8,3,76,28,0,26.666666666666668,37.5,36.84210526315789,2025-03-04,South America. Copa Libertadores,100,4-4-1-1 (100.0%),292,220,116,78,33,32,88,74,63,35,51,34,60,47,5,1,19,15,8,75.34246575342466,78.33333333333333,66.66666666666666,2025-03-04,South America. Copa Libertadores,100,4-4-1-1 (100.0%),14.95,2.68,21.58,14.17,20.03,20.51
